,Unnamed: 0,year_built,stories,num_bedrooms,full_bathrooms,half_bathrooms,livable_sqft,total_sqft,garage_type,garage_sqft,carport_sqft,has_fireplace,has_pool,has_central_heating,has_central_cooling,house_number,street_name,unit_number,city,zip_code,sale_price,Year_levels
20,105,2000,1,4,2,1,3012,3342,attached,638,0,True,True,True,True,54088,Dominguez Via,,West Ann,10748,995404.0,1985-2001
21,191,2005,1,3,3,0,2790,3049,attached,499,0,True,True,True,True,742,Rodriguez Estate,,West Ann,10748,806400.0,2002-2018
22,326,2006,1,3,3,0,3184,3497,attached,713,0,True,True,True,True,207,Fields Street,,West Ann,10748,1001696.0,2002-2018
23,454,2002,1,4,2,1,2741,3064,attached,710,0,True,False,True,True,72730,Jeremy Ridges,,West Ann,10748,475654.0,2002-2018
24,456,2001,2,3,2,0,2995,3020,attached,654,0,True,True,True,True,4544,Gonzalez Center,,West Ann,10748,646379.0,1985-2001
25,457,1998,1,3,2,0,2020,2081,attached,622,0,True,True,True,True,33896,Bernard Islands,,West Ann,10748,428401.0,1985-2001
26,459,1991,1,3,2,0,2086,2085,attached,501,0,True,True,True,True,64346,Billy Stream,,West Ann,10748,453600.0,1985-2001
27,507,2004,1,6,3,1,3255,3462,attached,439,0,True,True,True,True,8951,Tamara Fort,,West Ann,10748,529198.0,2002-2018
28,510,2001,1,4,2,1,2021,2022,attached,444,0,True,False,True,True,252,Riley Radial,,West Ann,10748,371704.0,1985-2001
29,511,2001,1,3,2,0,1812,1838,attached,440,0,True,False,True,True,2890,Morrison Common,,West Ann,10748,384302.0,1985-2001
30,512,2001,1,3,2,0,1806,1834,attached,444,0,True,True,True,True,96290,Ramirez Ford,,West Ann,10748,441004.0,1985-2001
31,513,2000,1,3,2,0,1710,1709,attached,419,0,True,True,True,True,4921,Coleman Ville,,West Ann,10748,443519.0,1985-2001
32,514,1998,1,4,2,0,1692,1787,attached,579,0,True,True,True,True,957,Patty Extension,,West Ann,10748,441001.0,1985-2001
33,515,2000,1,3,2,1,2286,2416,attached,640,0,True,True,True,True,9690,Amber Ports,,West Ann,10748,478798.0,1985-2001
34,516,1997,1,3,2,0,1795,1830,attached,439,0,True,True,True,True,62195,Craig Throughway,,West Ann,10748,412019.0,1985-2001
35,517,1995,1,3,2,0,1480,1482,attached,599,0,True,False,True,True,5032,Ramos Course,,West Ann,10748,315003.0,1985-2001
36,518,1995,1,3,2,0,1432,1433,attached,440,0,True,True,True,True,78971,Maxwell Light,,West Ann,10748,205377.0,1985-2001
37,519,1998,1,3,2,0,1802,1851,attached,422,0,True,False,True,True,846,Maxwell Light,,West Ann,10748,412649.0,1985-2001
38,520,1996,1,4,2,0,2012,2024,attached,583,0,True,True,True,True,9796,Saunders Squares,,West Ann,10748,439737.0,1985-2001
39,521,1997,2,4,3,0,2733,2733,attached,652,0,True,True,True,True,288,Debra Springs,,West Ann,10748,573303.0,1985-2001
40,522,1994,1,3,1,1,1451,1451,attached,461,0,True,False,True,True,136,Paul Turnpike,,West Ann,10748,340204.0,1985-2001
41,523,1990,1,3,2,0,1721,1725,attached,598,0,True,True,True,True,803,Welch Haven,,West Ann,10748,396901.0,1985-2001
42,524,1995,1,4,2,0,1900,1903,attached,604,0,True,True,True,True,408,Vincent Trafficway,,West Ann,10748,459900.0,1985-2001
43,525,1993,1,3,2,1,1587,1586,attached,508,0,True,False,True,True,485,Douglas Trail,,West Ann,10748,277202.0,1985-2001
44,526,1991,1,3,2,1,1590,1584,attached,506,0,True,False,True,True,485,Douglas Trail,,West Ann,10748,301137.0,1985-2001
45,527,1989,2,4,2,1,2296,2644,attached,481,0,True,True,True,True,55949,Williams Extensions,,West Ann,10748,463681.0,1985-2001
46,528,1991,2,4,2,1,2297,2661,attached,483,0,True,True,True,True,92682,Long Pike,,West Ann,10748,464312.0,1985-2001
47,529,1992,1,4,2,1,2016,2174,attached,503,0,True,False,True,True,915,Douglas Squares,,West Ann,10748,408243.0,1985-2001
48,530,1999,1,2,1,1,913,910,attached,234,0,False,False,True,True,388,Chavez Stravenue,,West Ann,10748,207897.0,1985-2001
49,531,2001,1,1,1,1,761,767,detached,235,0,False,False,True,True,3195,Chavez Stravenue,,West Ann,10748,179550.0,1985-2001
50,532,1988,1,2,1,1,911,918,detached,239,0,False,False,True,True,486,Wright Lodge,,West Ann,10748,245074.0,1985-2001
51,533,1989,1,1,1,0,760,760,detached,235,0,False,False,True,True,834,Wright Lodge,,West Ann,10748,177034.0,1985-2001
52,541,2003,1,3,3,0,2928,3160,attached,469,0,True,True,True,True,200,Hardy Inlet,,West Ann,10748,1020598.0,2002-2018
53,542,2002,1,4,4,0,3247,3796,attached,669,0,True,True,True,True,91814,Catherine Brook,,West Ann,10748,1080451.0,2002-2018
54,543,2001,1,4,4,0,3853,4384,attached,865,0,True,True,True,True,592,Gordon Forest,,West Ann,10748,1071002.0,1985-2001
55,544,2000,1,4,3,1,3550,4005,attached,635,0,True,True,True,True,97813,Smith Highway,,West Ann,10748,1637999.0,1985-2001
56,545,2001,1,3,3,0,2926,3159,attached,830,0,True,True,True,True,44878,Shirley Port,,West Ann,10748,995396.0,1985-2001
57,546,1998,1,3,3,0,2633,2903,attached,588,0,True,False,True,True,870,Dustin Park,,West Ann,10748,970198.0,1985-2001
58,547,1995,1,3,2,1,2143,2355,attached,448,0,True,False,True,True,1379,Teresa Trail,,West Ann,10748,694262.0,1985-2001
59,560,2007,1,2,1,1,1229,1257,attached,420,0,True,False,True,True,101,Alicia Summit,,West Ann,10748,188998.0,2002-2018
60,562,2004,3,4,2,1,2749,2772,attached,463,0,True,False,True,True,3808,Lloyd Light,,North Erinville,11510,450448.0,2002-2018
61,566,2015,1,4,3,0,2789,3351,attached,597,0,True,True,True,True,1615,Christina Forges,,West Ann,10748,655198.0,2002-2018
62,567,2016,1,4,3,0,2798,3353,attached,597,0,True,True,True,True,5685,Christina Forges,,West Ann,10748,630000.0,2002-2018
63,756,2014,2,4,2,1,2912,2996,attached,618,0,True,False,True,True,889,Baxter Vista,,Port Jonathanborough,10250,473131.0,2002-2018
64,757,2015,1,3,2,0,2314,2333,attached,625,0,True,False,True,True,1456,Baxter Vista,,Port Jonathanborough,10250,464311.0,2002-2018
65,758,2015,1,4,2,0,2547,2631,attached,626,0,True,False,True,True,4778,Baxter Vista,,Port Jonathanborough,10250,484471.0,2002-2018
66,759,2013,2,4,2,1,2777,3019,attached,648,0,True,False,True,True,136,Baxter Vista,,Port Jonathanborough,10250,451084.0,2002-2018
67,760,2014,2,4,2,1,2914,2990,attached,623,0,True,False,True,True,3320,Baxter Vista,,Port Jonathanborough,10250,454228.0,2002-2018
68,761,2007,2,6,4,1,4094,4158,attached,690,0,True,False,True,True,67727,Baxter Vista,,Port Jonathanborough,10250,466198.0,2002-2018
69,762,2007,2,5,3,1,3276,3299,attached,608,0,True,False,True,True,43816,Nicole Cliff,,Port Jonathanborough,10250,401939.0,2002-2018
70,865,1992,1,3,2,0,1230,1273,attached,427,0,True,False,True,True,6039,Lee Way,,Port Andrealand,11295,376742.0,1985-2001
71,943,2011,3,3,2,1,1583,1674,attached,460,0,True,False,True,True,57651,Becky Tunnel,,Port Andrealand,11295,342719.0,2002-2018
72,947,2011,3,3,2,1,1233,1311,attached,268,0,True,False,True,True,20600,Schultz Street,,Port Andrealand,11295,302401.0,2002-2018
73,966,2014,1,2,2,1,2161,2236,attached,428,0,False,False,True,True,92640,Williams Ways,,East Lucas,11911,389966.0,2002-2018
74,967,2015,1,2,2,1,2158,2231,attached,433,0,False,False,True,True,916,Roberts Run,,East Lucas,11911,456124.0,2002-2018
75,968,2015,1,2,2,1,2162,2228,attached,428,0,False,False,True,True,531,Roberts Run,,East Lucas,11911,391227.0,2002-2018
76,969,2016,1,2,2,0,2044,2080,attached,425,0,False,False,True,True,632,Roberts Run,,East Lucas,11911,375484.0,2002-2018
77,970,2014,1,2,2,0,1856,1886,attached,446,0,False,False,True,True,965,Roberts Run,,East Lucas,11911,340831.0,2002-2018
78,971,2014,1,2,2,1,2163,2232,attached,432,0,False,False,True,True,14502,Steven Shoals,,East Lucas,11911,374220.0,2002-2018
79,972,2015,1,2,2,1,2167,2237,attached,434,0,False,False,True,True,1210,Roberts Run,,East Lucas,11911,408241.0,2002-2018
80,973,2011,2,3,2,1,1646,1739,attached,436,0,False,False,True,True,157,Brooke Mountains,3501.0,Port Andrealand,11295,412022.0,2002-2018
81,974,2013,2,5,2,1,2815,2838,attached,479,0,True,False,True,True,6620,Michael Passage,,North Erinville,11510,476283.0,2002-2018
82,975,2013,2,4,2,1,2273,2375,attached,436,0,True,False,True,True,95,Clark Via,,North Erinville,11510,466201.0,2002-2018
83,976,2013,2,4,2,1,2283,2356,attached,429,0,True,False,True,True,42271,Torres Inlet,,North Erinville,11510,461160.0,2002-2018
84,1001,2014,1,3,2,1,3060,3062,attached,706,0,False,False,True,True,2040,Mata Vista,,Port Jonathanborough,10250,460530.0,2002-2018
85,1002,2016,2,3,2,1,2829,2827,attached,584,0,False,False,True,True,8567,Mata Vista,,Port Jonathanborough,10250,448561.0,2002-2018
86,1003,2014,1,3,2,0,2316,2308,attached,436,0,False,False,True,True,844,Mata Vista,,Port Jonathanborough,10250,443524.0,2002-2018
87,1011,2015,1,3,2,1,3303,3312,attached,458,0,False,False,True,True,6351,Jonathan Junction,,Port Jonathanborough,10250,475650.0,2002-2018
88,1012,2015,2,4,2,1,3120,3163,attached,715,0,False,False,True,True,4248,Jacob Brook,,Port Jonathanborough,10250,450450.0,2002-2018
89,1013,2015,1,3,2,1,2495,2492,attached,448,0,False,False,True,True,131,Jonathan Junction,,Port Jonathanborough,10250,499589.0,2002-2018
90,1014,2014,1,3,2,1,2830,2899,attached,667,0,False,False,True,True,1067,Wolfe Point,,Port Jonathanborough,10250,497704.0,2002-2018
91,1015,2015,1,3,2,1,2838,2899,attached,661,0,False,False,True,True,1814,Wolfe Point,,Port Jonathanborough,10250,489513.0,2002-2018
92,1032,2014,2,5,3,0,3409,3576,attached,651,0,False,False,True,True,19044,Danielle Overpass,,Port Jonathanborough,10250,549358.0,2002-2018
93,1033,2016,2,5,3,0,3781,4028,attached,751,0,False,False,True,True,522,Christina Roads,,Port Jonathanborough,10250,558180.0,2002-2018
94,1034,2015,1,4,2,1,2787,3147,attached,599,0,False,False,True,True,62550,Christina Roads,,Port Jonathanborough,10250,500847.0,2002-2018
95,1035,2014,1,4,3,0,3026,3363,attached,478,0,False,False,True,True,274,Christina Roads,,Port Jonathanborough,10250,536128.0,2002-2018
96,1036,2015,2,4,3,0,3151,3171,attached,589,0,True,False,True,True,896,Holt Light,,North Erinville,11510,595977.0,2002-2018
97,1037,2016,2,4,3,0,3183,3409,attached,422,0,True,False,True,True,31688,Holt Light,,North Erinville,11510,572038.0,2002-2018
98,1038,2015,2,5,3,0,3827,4182,attached,503,0,True,False,True,True,8,Margaret Curve,,North Erinville,11510,613624.0,2002-2018
99,1039,2014,2,5,2,1,2805,2846,attached,475,0,False,False,True,True,8226,Margaret Curve,,North Erinville,11510,505892.0,2002-2018
100,1040,2015,2,4,2,1,2403,2442,attached,578,0,True,False,True,True,42336,Lindsey Court,,North Erinville,11510,492656.0,2002-2018
101,1041,2015,2,5,2,1,2805,2841,attached,479,0,True,False,True,True,751,Doyle Gateway,,North Erinville,11510,565737.0,2002-2018
102,1042,2014,2,5,2,1,2803,2839,attached,477,0,True,False,True,True,61481,King Knolls,,North Erinville,11510,526047.0,2002-2018
103,1043,2014,2,5,3,0,3820,4181,attached,503,0,True,False,True,True,79083,Poole Tunnel,,North Erinville,11510,601020.0,2002-2018
104,1044,2015,1,3,2,0,1945,1954,attached,414,0,True,False,True,True,679,Poole Tunnel,,North Erinville,11510,459897.0,2002-2018
105,1045,2016,2,4,2,1,2409,2446,attached,581,0,True,False,True,True,871,Doyle Gateway,,North Erinville,11510,518491.0,2002-2018
106,1046,2014,2,4,2,1,2405,2446,attached,581,0,True,False,True,True,5448,Doyle Gateway,,North Erinville,11510,519749.0,2002-2018
107,1047,2015,2,4,3,0,3156,3168,attached,590,0,True,False,True,True,22082,Jessica Drives,,North Erinville,11510,575188.0,2002-2018
108,1048,2013,2,5,3,0,3826,4184,attached,502,0,True,False,True,True,6568,Rose Trafficway,,North Erinville,11510,599757.0,2002-2018
109,1049,2016,2,4,2,1,2279,2361,attached,433,0,False,False,True,True,350,Byrd Centers,,North Erinville,11510,500220.0,2002-2018
110,1057,2016,1,4,2,1,2283,2408,attached,414,0,True,False,True,True,331,Ramirez Roads,,Wendybury,10250,493294.0,2002-2018
111,1058,2015,2,6,4,0,4126,4262,attached,597,0,True,False,True,True,218,Johnson Rapids,,Wendybury,10250,713159.0,2002-2018
112,1059,2015,1,4,2,1,2288,2408,attached,417,0,True,False,True,True,84475,Johnson Rapids,,Wendybury,10250,527944.0,2002-2018
113,1060,2014,1,5,3,0,2814,3230,attached,649,0,True,False,True,True,3572,Johnson Rapids,,Wendybury,10250,542431.0,2002-2018
114,1061,2015,1,4,2,1,2289,2412,attached,411,0,True,False,True,True,608,Ramirez Roads,,Wendybury,10250,526684.0,2002-2018
115,1066,2012,1,3,2,1,2310,2308,attached,445,0,False,False,True,True,59,Mata Vista,,Port Jonathanborough,10250,414544.0,2002-2018
116,1082,2010,3,3,2,1,1582,1674,attached,459,0,True,False,True,True,66103,Christina Club,3776.0,Port Andrealand,11295,336421.0,2002-2018
117,1092,2015,2,4,3,0,2544,2532,attached,484,0,False,False,True,True,3449,Summers Lights,,Port Jonathanborough,10250,455486.0,2002-2018
118,1178,2016,2,2,2,1,1222,1235,attached,436,0,False,False,True,True,5848,Richardson Throughway,,Port Andrealand,11295,357207.0,2002-2018
119,1179,2016,2,3,2,1,1554,1567,attached,449,0,False,False,True,True,77716,Richardson Throughway,,Port Andrealand,11295,409498.0,2002-2018
120,1180,2016,2,3,2,1,1557,1565,attached,449,0,False,False,True,True,177,Richardson Throughway,,Port Andrealand,11295,445414.0,2002-2018
121,1181,2014,2,2,2,1,1212,1237,attached,435,0,False,False,True,True,167,Richardson Throughway,,Port Andrealand,11295,360357.0,2002-2018
122,1182,2016,2,2,2,1,1222,1236,attached,434,0,False,False,True,True,979,Richardson Throughway,,Port Andrealand,11295,361621.0,2002-2018
123,1183,2016,2,2,2,1,1512,1518,attached,448,0,False,False,True,True,5713,Gibson Lock,,Port Andrealand,11295,406981.0,2002-2018
124,1184,2015,3,2,2,1,1645,1855,attached,498,0,False,False,True,True,14961,Gibson Lock,,Port Andrealand,11295,413279.0,2002-2018
125,1185,2013,3,2,2,1,1647,1854,attached,501,0,False,False,True,True,478,Roman Underpass,,Port Andrealand,11295,385564.0,2002-2018
126,1186,2015,3,2,2,1,1650,1856,attached,500,0,False,False,True,True,7461,Bush Keys,,Port Andrealand,11295,386821.0,2002-2018
127,1187,2015,3,2,2,1,1648,1733,attached,501,0,False,False,True,True,12641,Bush Keys,,Port Andrealand,11295,374854.0,2002-2018
128,1188,2013,2,4,3,0,3183,3411,attached,421,0,True,False,True,True,56455,Poole Tunnel,,North Erinville,11510,544321.0,2002-2018
129,1196,2016,2,4,3,0,2453,2541,attached,679,0,True,False,True,True,4469,Jenkins Corners,,Port Jonathanborough,10250,468716.0,2002-2018
130,1200,2015,1,3,2,1,2813,2946,attached,586,0,False,False,True,True,593,Combs Crossing,,Port Jonathanborough,10250,612361.0,2002-2018
131,1201,2015,2,5,3,0,3443,3562,attached,646,0,False,False,True,True,575,Grant Parkway,,Port Jonathanborough,10250,525422.0,2002-2018
132,1202,2014,2,5,3,1,3317,3456,attached,723,0,False,False,True,True,320,Grant Parkway,,Port Jonathanborough,10250,512187.0,2002-2018
133,1203,2014,2,5,3,1,3317,3464,attached,723,0,False,False,True,True,69596,Rivera Shoals,,Port Jonathanborough,10250,546838.0,2002-2018
134,1204,2016,2,5,3,0,3444,3555,attached,651,0,False,False,True,True,7765,Rivera Shoals,,Port Jonathanborough,10250,522903.0,2002-2018
135,1205,2016,2,5,4,0,3842,4231,attached,619,0,False,False,True,True,3201,Rivera Shoals,,Port Jonathanborough,10250,573302.0,2002-2018
136,1206,2016,2,5,3,1,3313,3455,attached,720,0,False,False,True,True,51,Anita Mount,,Port Jonathanborough,10250,517859.0,2002-2018
137,1207,2014,1,4,2,1,2691,2694,attached,417,0,False,False,True,True,773,Phillips Throughway,,Port Jonathanborough,10250,464941.0,2002-2018
138,1210,2015,2,5,2,0,3817,4178,attached,502,0,True,False,True,True,362,Margaret Curve,,North Erinville,11510,589682.0,2002-2018
139,1216,2013,1,2,2,0,1491,1525,attached,422,0,False,False,True,True,14036,Johnson Drives,,East Lucas,11911,296100.0,2002-2018
140,1228,2015,2,3,2,1,3200,3261,attached,675,0,False,False,True,True,885,Scott Crossroad,,North Erinville,11510,508413.0,2002-2018
141,1244,2014,1,4,2,1,2424,2789,attached,686,0,True,True,True,True,4359,Cruz Station,,West Ann,10748,718827.0,2002-2018
142,1246,2015,2,4,2,1,2446,2548,attached,427,0,False,False,True,True,1996,Amanda Station,,North Erinville,11510,476278.0,2002-2018
143,1247,2016,2,5,2,1,2781,2817,attached,508,0,False,False,True,True,8132,Amanda Station,,North Erinville,11510,524160.0,2002-2018
144,1248,2014,2,4,2,1,2444,2552,attached,424,0,False,False,True,True,8448,Amanda Station,,North Erinville,11510,466199.0,2002-2018
145,1249,2015,2,3,2,1,2208,2359,attached,474,0,False,False,True,True,9055,Amanda Station,,North Erinville,11510,450446.0,2002-2018
146,1250,2016,2,5,2,1,2779,2823,attached,511,0,False,False,True,True,87804,Amanda Station,,North Erinville,11510,495178.0,2002-2018
147,1260,2014,2,4,2,1,2022,2055,attached,483,0,True,False,True,True,490,Taylor Coves,,North Erinville,11510,483213.0,2002-2018
148,1264,2015,2,3,2,1,1649,1665,attached,383,0,False,False,True,True,1447,Edwin Port,354.0,East Lucas,11911,289171.0,2002-2018
149,1265,2016,2,4,2,1,1967,2054,attached,439,0,False,False,True,True,53775,Edwin Port,2701.0,East Lucas,11911,337051.0,2002-2018
150,1266,2014,2,4,2,1,1725,1744,attached,420,0,False,False,True,True,284,Erin Village,,East Lucas,11911,313108.0,2002-2018
151,1267,2016,2,3,2,1,1654,1662,attached,386,0,False,False,True,True,19818,Erin Village,2783.0,East Lucas,11911,319410.0,2002-2018
153,1274,2014,2,5,3,1,3793,3942,attached,657,0,True,False,True,True,343,Vincent Unions,,Port Jonathanborough,10250,522902.0,2002-2018
154,1275,2015,2,4,2,1,2969,3069,attached,724,0,True,False,True,True,18250,Vincent Unions,,Port Jonathanborough,10250,483207.0,2002-2018
155,1276,2015,2,5,3,1,3799,3944,attached,659,0,True,False,True,True,851,Michele Crest,,Port Jonathanborough,10250,527939.0,2002-2018
156,1278,2014,2,4,2,1,2969,3069,attached,726,0,True,False,True,True,432,Vincent Unions,,Port Jonathanborough,10250,485104.0,2002-2018
157,1279,2014,2,5,3,1,3524,3632,attached,709,0,True,False,True,True,674,Vincent Unions,,Port Jonathanborough,10250,548103.0,2002-2018
158,1280,2015,2,4,2,1,2962,3075,attached,726,0,True,False,True,True,39700,Vincent Unions,,Port Jonathanborough,10250,480058.0,2002-2018
159,1293,2013,2,3,2,1,1606,1716,attached,425,0,False,False,True,True,43001,Wilson Brook,,North Erinville,11510,340200.0,2002-2018
160,1309,2012,2,3,2,0,1734,1737,attached,428,0,False,False,True,True,9879,Lisa Coves,,Port Andrealand,11295,410757.0,2002-2018
161,1315,2014,1,2,2,1,2409,2666,attached,537,0,False,False,True,True,538,Kristen Rapids,,East Lucas,11911,463677.0,2002-2018
162,1316,2014,1,2,2,1,2703,2944,attached,508,0,False,False,True,True,269,Rhonda Summit,,East Lucas,11911,532983.0,2002-2018
163,1317,2016,1,2,2,1,2477,2726,attached,523,0,False,False,True,True,52411,Rhonda Summit,,East Lucas,11911,614251.0,2002-2018
164,1318,2013,1,2,2,1,2476,2716,attached,522,0,False,False,True,True,548,Patricia Flat,,East Lucas,11911,462424.0,2002-2018
165,1319,2013,1,2,2,0,1495,1528,attached,430,0,False,False,True,True,543,Castro Parkways,,East Lucas,11911,303031.0,2002-2018
166,1320,2016,1,2,2,0,1596,1636,attached,554,0,False,False,True,True,552,Jones Shore,,East Lucas,11911,373589.0,2002-2018
167,1322,2016,2,4,2,1,2965,3096,attached,620,0,False,False,True,True,9501,Mandy Land,,Port Jonathanborough,10250,491404.0,2002-2018
168,1331,2014,1,4,2,0,2622,2716,attached,422,0,False,False,True,True,9415,Grant Station,,North Erinville,11510,497698.0,2002-2018
169,1332,2014,2,4,2,0,2524,2565,attached,419,0,False,False,True,True,723,James Shoal,,North Erinville,11510,439113.0,2002-2018
170,1333,2014,1,3,2,0,1866,1891,attached,418,0,False,False,True,True,35472,Sarah Forest,,North Erinville,11510,457379.0,2002-2018
171,1334,2016,2,4,2,1,2119,2262,attached,461,0,False,False,True,True,61,Jones Branch,,East Lucas,11911,388080.0,2002-2018
172,1335,2014,2,4,2,1,3374,3485,attached,633,0,False,False,True,True,31086,Grant Station,,North Erinville,11510,546207.0,2002-2018
173,1336,2013,1,4,2,0,2634,2712,attached,417,0,False,False,True,True,766,James Shoal,,North Erinville,11510,490137.0,2002-2018
174,1337,2014,2,5,4,1,4239,4369,attached,656,0,False,False,True,True,7150,James Shoal,,North Erinville,11510,558181.0,2002-2018
175,1338,2015,2,4,3,1,4074,4189,attached,661,0,False,False,True,True,900,Paul Club,,North Erinville,11510,594088.0,2002-2018
176,1339,2016,2,4,2,0,2524,2566,attached,419,0,False,False,True,True,9416,James Shoal,,North Erinville,11510,465572.0,2002-2018
177,1340,2014,1,3,2,0,2343,2394,attached,637,0,False,False,True,True,4177,Jessica Isle,,North Erinville,11510,497704.0,2002-2018
178,1341,2013,1,3,3,0,2611,2716,attached,641,0,False,False,True,True,348,Nancy Pike,,North Erinville,11510,498957.0,2002-2018
179,1342,2014,1,3,2,0,2349,2404,attached,639,0,False,False,True,True,496,Nash Mission,,North Erinville,11510,490141.0,2002-2018
180,1343,2014,1,4,3,0,2896,2970,attached,522,0,False,False,True,True,956,Gabriel Causeway,,North Erinville,11510,498958.0,2002-2018
181,1344,2015,2,5,3,1,3173,3413,attached,808,0,False,False,True,True,753,Allen Forge,,East Lucas,11911,507784.0,2002-2018
182,1345,2016,2,5,3,1,3523,3728,attached,705,0,True,False,True,True,6934,Smith Plain,,North Erinville,11510,583377.0,2002-2018
183,1347,2017,2,3,2,1,1647,1662,attached,390,0,False,False,True,True,46494,Moore Terrace,3920.0,East Lucas,11911,323193.0,2002-2018
184,1356,2013,2,3,2,1,1739,1749,attached,452,0,False,False,True,True,425,Bush Keys,,Port Andrealand,11295,410761.0,2002-2018
185,1360,2012,2,5,4,1,4214,4405,attached,623,0,False,False,True,True,8567,Jenny Course,,Port Andrealand,11295,689224.0,2002-2018
186,1361,2014,1,3,2,1,2190,2219,attached,428,0,False,False,True,True,2692,Jenny Course,,Port Andrealand,11295,529198.0,2002-2018
187,1366,2016,1,2,2,0,1594,1697,attached,420,0,False,False,True,True,636,Chapman Locks,,East Lucas,11911,378001.0,2002-2018
188,1367,2016,1,2,2,0,1595,1635,attached,558,0,False,False,True,True,4892,Chapman Locks,,East Lucas,11911,369810.0,2002-2018
189,1368,2014,1,2,2,1,2162,2237,attached,428,0,False,False,True,True,69898,Chapman Locks,,East Lucas,11911,459266.0,2002-2018
190,1370,2015,2,4,2,1,1731,1750,attached,419,0,False,False,True,True,9122,Erin Village,,East Lucas,11911,340833.0,2002-2018
191,1379,2014,2,4,2,1,1728,1750,attached,416,0,False,False,True,True,55007,James Manor,,East Lucas,11911,319407.0,2002-2018
192,1380,2016,2,4,2,1,1962,2050,attached,438,0,False,False,True,True,53697,James Manor,354.0,East Lucas,11911,324450.0,2002-2018
193,1381,2015,2,4,2,1,1966,2050,attached,441,0,False,False,True,True,53697,James Manor,3920.0,East Lucas,11911,321929.0,2002-2018
194,1495,2008,2,4,2,1,3409,3400,attached,739,0,True,False,True,True,729,Wallace Shores,,North Erinville,11510,541803.0,2002-2018
195,1496,2009,2,4,2,1,3405,3489,attached,747,0,True,False,True,True,34877,Jessica Shoals,,North Erinville,11510,491403.0,2002-2018
196,1497,2009,2,4,2,1,2724,2767,attached,653,0,True,False,True,True,202,Ashley Rapids,,North Erinville,11510,466196.0,2002-2018
197,1498,2009,2,5,3,0,3101,3156,attached,607,0,True,False,True,True,2554,Carol Bridge,,North Erinville,11510,504001.0,2002-2018
198,1523,2008,2,4,2,1,3135,3128,attached,626,0,True,False,True,True,27458,Anderson Stravenue,,North Erinville,11510,453604.0,2002-2018
199,1524,2008,2,3,2,1,1989,2059,attached,678,0,True,False,True,True,23686,Michael Falls,,North Erinville,11510,422099.0,2002-2018
200,1525,2006,1,4,2,0,2614,2640,attached,428,0,True,False,True,True,7940,Hernandez Lakes,,North Erinville,11510,453596.0,2002-2018
201,1532,2012,2,4,2,0,2104,2183,attached,443,0,False,False,True,True,658,Sanders Shore,,North Erinville,11510,453596.0,2002-2018
202,1533,2013,1,3,1,1,1798,1856,attached,422,0,False,False,True,True,2671,Alicia Motorway,,North Erinville,11510,399424.0,2002-2018
